PostalCode,Borough ,Neighborhood
V5K,Vancouver ,"North Hastings, Sunrise"
V5L,Vancouver ,"North grandview, Woodland"
V5M,Vancouver ,"South Hastings, Sunrise, North Renfrew- Collingwod"
V5N,Vancouver ,"South Grandview, Woodland, Ne Kensington, Cedaar Cottage"
V5P,Vancouver ,"SE Kensington, Cedar Cottage, Victoria drive, Fraserview "
V5R,Vancouver,"South Renfrew, Collingwood"
V5S,Vancouver,Killarney
V5T,Vancouver,East Mount Pleasant
V5V,Vancouver," West Kensington, Cedar Cottage, North East Riley Park, Little Mountain "
V5W,Vancouver,"South East Riley, Park Little Mountain, SW Kensington, Cedar Cottage, North East Oakridge, North Sunset"
V5X,Vancouver,"SE Oakridge, East Marpole, South Sunset"
V5Y,Vancouver,"West Mount Pleasant, West Riley Park, Little Mountain "
V5Z,Vancouver ,"East Fairview, South Cambie "
V6A,Vancouver ,Strathcona 
V6B,Vancouver ,"Ne Downtown, Gastow, Harbour Center, International Village, Victory Square, Yaletown"
V6C,Vancouver,"Waterfron, Coal Harbour, Canada Place"
V6E,Vancouver ,"South East West End, Davie Village"
V6G,Vancouver,"North West West End, Stanely Park"
V6H,Vancouver ,"West Fairview, Granvile Iceland, Nort East Shaughnessy "
V6J,Vancouver ,"North West Shaughnessy, East Kitsilano, Quilchena "
V6K,Vancouver ,"Central Kitsilano, Greektown "
V6L,Vancouver ,"North West Arbutus Ridge, North East Dunbar, Southlands"
V6M,Vancouver ,"South Shaughnessy, North West Oakridge, North East Kerrisdale, South East Arbutus Ridge"
V6N,Vancouver ,"West Kerisdale, South Dunbar, Southlands, Musqueam "
V6P,Vancouver ,"South East Kerrisdale, South West Oakridge, West Marpole"
V6R,Vancouver ,"West Kitsilano, West Point Grey, Jericho "
V6S,Vancouver ,"North West Dunbar, Southlands, Chaldecutt, South University Endowment Lands"
V6T,Vancouver ,UBC
V6Z,Vancouver ,SW Downtown 
V7X,Vancouver ,Bental Center 
V7Y,Vancouver ,Pacific Center 
