addressString,fullAddress,score,precision,faults,X,Y,Notes,PostalCode,"Borough ",Neighborhood,Latitude,Longitude,PostalCode,"Borough ",Neighborhood,PostalCode,"Borough "
North Hastings/ Sunrise,"North Creek Trail, Vancouver, BC",69,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.spelledWrong:2, LOCALITY.isAlias:4, STREET_QUALIFIER.missing:1, PROVINCE.missing:1]",-123.1422887,49.3038316,,V5K,"Vancouver ",undefined,undefined,undefined,V5K,"Vancouver ",undefined,V5K,"Vancouver "
North grandview - Woodland,"North Creek Trail, Vancouver, BC",69,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.spelledWrong:2, LOCALITY.isAlias:4, STREET_QUALIFIER.missing:1, PROVINCE.missing:1]",-123.1422887,49.3038316,,V5L,"Vancouver ",undefined,undefined,undefined,V5L,"Vancouver ",undefined,V5L,"Vancouver "
South Hastings- North Renfrew Collingwod,"Renfrew-Collingwood, BC",53,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1]",-123.0346508,49.24983,,V5M,"Vancouver ",undefined,undefined,undefined,V5M,"Vancouver ",undefined,V5M,"Vancouver "
South Grandview - Woodland- Ne Kensington- Cedaar Cottage,"Kensington-Cedar Cottage, BC",53,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1]",-123.0679857,49.2498298,,V5N,"Vancouver ",undefined,undefined,undefined,V5N,"Vancouver ",undefined,V5N,"Vancouver "
"SE Kensington- Cedar Cottage- Victoria- Fraserview ","Victoria-Fraserview, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.067984,49.2164962,,V5P,"Vancouver ",undefined,undefined,undefined,V5P,"Vancouver ",undefined,V5P,"Vancouver "
South Renfrew- Collingwood,"South Creek Trail, Vancouver, BC",71,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.isAlias:4, STREET_QUALIFIER.missing:1, PROVINCE.missing:1]",-123.139155,49.3007422,,V5R,Vancouver,undefined,undefined,undefined,V5R,Vancouver,undefined,V5R,Vancouver
Killarney,"Killarney, BC",67,LOCALITY(68),[PROVINCE.missing:1],-123.03465,49.2164972,,V5S,Vancouver,undefined,undefined,undefined,V5S,Vancouver,undefined,V5S,Vancouver
East Mount Pleasant,"East Boulevard, Vancouver, BC",72,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.isAlias:4, PROVINCE.missing:1]",-123.1542215,49.226656,,V5T,Vancouver,undefined,undefined,undefined,V5T,Vancouver,undefined,V5T,Vancouver
" Cedar Cottage, vancouver ","Cedar Cottage Mews, Vancouver, BC",71,STREET(78),"[STREET_TYPE.missing:6, PROVINCE.missing:1]",-123.0750778,49.2491254,,V5V,Vancouver,undefined,undefined,undefined,V5V,Vancouver,undefined,V5V,Vancouver
SE Riley- Park Little Mountain- SW Kensington- Cedar Cottage- NE Oakridge - North Sunset,"Sunset, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.0846513,49.2164962,,V5W,Vancouver,undefined,undefined,undefined,V5W,Vancouver,undefined,V5W,Vancouver
SE Oakridge- East Marpole- South Sunset,"Sunset, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.0846513,49.2164962,,V5X,Vancouver,undefined,undefined,undefined,V5X,Vancouver,undefined,V5X,Vancouver
"West Mount Pleasant- West Riley Park , vancouver","Vancouver, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.1138889,49.2611111,,V5Y,Vancouver,undefined,undefined,undefined,V5Y,Vancouver,undefined,V5Y,Vancouver
